frame_number,monkey_ID,monkey_name,monkey_id_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_confidence,nose_x,nose_y,nose_confidence,left_eye_x,left_eye_y,left_eye_confidence,right_eye_x,right_eye_y,right_eye_confidence,left_ear_x,left_ear_y,left_ear_confidence,right_ear_x,right_ear_y,right_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
18,1,Jok,0.6450,1014.1,155.3,1085.8,345.8,0.9498,954.62,155.00,0.0000,1064.10,221.80,0.0000,954.62,155.00,0.0000,1052.59,168.36,0.0000,954.62,155.00,0.0000,1051.48,226.25,0.0000,1022.54,207.32,0.0000,1018.45,266.70,0.0000,1008.06,267.44,0.0000,1039.23,249.26,0.0000,1008.43,344.63,0.0000,1055.93,274.49,0.0000,1055.93,274.86,0.0000,1032.55,298.24,0.0000,1018.82,290.82,0.0000,954.62,344.63,0.0000,1004.35,344.63,0.0000
19,0,Elm,0.7129,864.2,47.5,1038.4,407.4,0.9441,1013.77,116.61,0.0000,955.41,89.19,0.0000,1014.47,106.06,0.0000,771.19,47.00,0.0000,771.19,47.00,0.0000,771.19,47.00,0.0000,984.94,136.30,0.0000,881.58,206.61,0.0000,771.19,47.00,0.0000,1024.31,175.67,0.0000,1020.09,186.92,0.0000,859.08,317.70,0.0000,947.67,343.72,0.0000,863.30,258.64,0.0000,771.19,47.00,0.0000,927.28,344.42,0.0000,771.19,47.00,0.0000
19,1,Jok,0.6457,1014.1,155.1,1085.9,345.3,0.9504,954.62,155.00,0.0000,954.62,155.00,0.0000,954.62,155.00,0.0000,1061.50,168.73,0.0000,954.62,155.00,0.0000,1051.48,229.22,0.0000,954.62,155.00,0.0000,1017.34,269.67,0.0000,1012.89,275.23,0.0000,954.62,344.63,0.0000,1008.06,344.63,0.0000,1056.30,274.49,0.0000,1043.69,274.49,0.0000,1032.55,298.24,0.0000,1015.86,290.82,0.0000,1014.74,344.63,0.0000,1003.98,344.63,0.0000
20,0,Elm,0.7023,863.6,47.5,1038.6,407.0,0.9444,1012.77,117.31,0.0000,954.41,89.19,0.0000,1014.17,110.98,0.0000,770.19,47.00,0.0000,770.19,47.00,0.0000,770.19,47.00,0.0000,983.94,136.30,0.0000,881.28,206.61,0.0000,770.19,47.00,0.0000,1026.83,175.67,0.0000,1020.50,186.92,0.0000,861.59,317.70,0.0000,947.38,341.61,0.0000,862.30,259.34,0.0000,770.19,47.00,0.0000,868.62,344.42,0.0000,770.19,47.00,0.0000
20,1,Jok,0.6408,1014.2,155.3,1085.9,345.7,0.9497,954.62,155.00,0.0000,954.62,155.00,0.0000,954.62,155.00,0.0000,1061.50,168.36,0.0000,954.62,155.00,0.0000,1051.48,230.33,0.0000,954.62,155.00,0.0000,1017.34,269.67,0.0000,1012.89,267.07,0.0000,954.62,344.63,0.0000,1006.58,344.63,0.0000,1056.30,280.06,0.0000,1043.69,280.06,0.0000,1032.55,298.24,0.0000,1015.86,290.82,0.0000,1015.11,344.63,0.0000,1003.98,344.63,0.0000
21,0,Elm,0.7053,864.7,49.5,1037.3,406.6,0.9424,1011.82,118.73,0.0000,954.64,88.05,0.0000,1013.91,112.45,0.0000,771.96,49.00,0.0000,771.96,49.00,0.0000,771.96,49.00,0.0000,984.63,137.55,0.0000,880.73,206.58,0.0000,771.96,49.00,0.0000,1027.16,171.72,0.0000,1020.19,182.18,0.0000,859.12,317.45,0.0000,946.97,341.15,0.0000,854.94,258.88,0.0000,771.96,49.00,0.0000,869.58,343.94,0.0000,771.96,49.00,0.0000
21,1,Jok,0.6579,1014.5,154.6,1085.8,345.8,0.9487,954.31,154.00,0.0000,1064.36,221.15,0.0000,954.31,154.00,0.0000,1052.80,167.43,0.0000,954.31,154.00,0.0000,1051.68,232.34,0.0000,954.31,154.00,0.0000,1018.48,269.64,0.0000,1008.03,274.87,0.0000,954.31,344.63,0.0000,1008.40,344.63,0.0000,1056.15,279.72,0.0000,1043.84,279.72,0.0000,1032.65,298.00,0.0000,1013.25,290.54,0.0000,954.31,344.63,0.0000,1003.93,344.63,0.0000
22,0,Elm,0.7201,863.3,51.4,1037.9,406.0,0.9434,1011.65,119.45,0.0000,954.27,89.03,0.0000,1013.73,113.92,0.0000,773.12,51.00,0.0000,773.12,51.00,0.0000,773.12,51.00,0.0000,984.00,138.12,0.0000,882.36,207.95,0.0000,773.12,51.00,0.0000,1022.02,172.69,0.0000,1018.57,183.06,0.0000,859.54,317.19,0.0000,946.66,340.01,0.0000,863.69,259.80,0.0000,773.12,51.00,0.0000,880.98,337.93,0.0000,773.12,51.00,0.0000
22,1,Jok,0.6609,1014.6,154.3,1086.0,346.0,0.9485,954.31,154.00,0.0000,954.31,154.00,0.0000,954.31,154.00,0.0000,1061.75,169.67,0.0000,954.31,154.00,0.0000,1052.05,228.98,0.0000,954.31,154.00,0.0000,1015.49,266.66,0.0000,1008.03,268.53,0.0000,954.31,344.63,0.0000,1011.76,344.63,0.0000,1056.15,279.72,0.0000,1043.84,279.72,0.0000,1032.65,298.00,0.0000,1015.87,290.54,0.0000,1016.61,344.63,0.0000,1003.93,344.63,0.0000
23,0,Elm,0.7016,864.4,51.4,1038.3,405.5,0.9415,1012.65,119.45,0.0000,955.27,89.72,0.0000,1014.04,109.08,0.0000,774.12,51.00,0.0000,774.12,51.00,0.0000,774.12,51.00,0.0000,984.30,138.12,0.0000,883.36,208.64,0.0000,774.12,51.00,0.0000,1023.02,172.69,0.0000,1019.57,188.59,0.0000,861.23,317.19,0.0000,948.35,343.46,0.0000,989.14,259.11,0.0000,774.12,51.00,0.0000,927.61,342.77,0.0000,774.12,51.00,0.0000
23,1,Jok,0.6607,1014.7,154.9,1085.7,345.7,0.9493,954.31,154.00,0.0000,954.31,154.00,0.0000,954.31,154.00,0.0000,1061.75,167.80,0.0000,954.31,154.00,0.0000,1051.68,232.34,0.0000,954.31,154.00,0.0000,1016.98,269.64,0.0000,1008.03,266.66,0.0000,954.31,249.13,0.0000,1011.39,344.63,0.0000,1056.53,274.12,0.0000,1056.53,274.49,0.0000,1032.65,306.20,0.0000,1013.25,290.54,0.0000,1014.75,344.63,0.0000,1003.55,344.63,0.0000
24,0,Elm,0.7179,859.5,50.5,1039.6,406.7,0.9386,1021.70,139.70,0.0000,930.62,100.76,0.0000,1018.23,113.97,0.0000,771.39,50.00,0.0000,771.39,50.00,0.0000,771.39,50.00,0.0000,983.46,135.52,0.0000,879.86,207.84,0.0000,771.39,50.00,0.0000,1021.70,162.64,0.0000,1025.18,182.80,0.0000,861.78,317.70,0.0000,945.91,341.34,0.0000,862.48,259.29,0.0000,771.39,50.00,0.0000,925.75,337.86,0.0000,771.39,50.00,0.0000
24,1,Jok,0.6708,1015.2,147.5,1085.1,346.1,0.9487,950.48,147.00,0.0000,1063.58,220.07,0.0000,950.48,147.00,0.0000,1062.81,215.79,0.0000,950.48,147.00,0.0000,1052.31,229.01,0.0000,950.48,147.00,0.0000,1017.33,267.49,0.0000,1011.50,272.93,0.0000,1030.94,243.39,0.0000,1007.23,345.61,0.0000,1056.98,272.15,0.0000,1056.59,272.15,0.0000,1028.99,309.46,0.0000,1019.28,289.25,0.0000,1012.67,345.61,0.0000,1002.56,345.61,0.0000
25,0,Elm,0.7080,860.3,51.0,1036.8,406.6,0.9375,1016.45,118.84,0.0000,928.14,91.72,0.0000,1010.88,108.41,0.0000,769.61,50.00,0.0000,769.61,50.00,0.0000,769.61,50.00,0.0000,980.98,135.52,0.0000,879.47,207.84,0.0000,769.61,50.00,0.0000,1019.92,161.95,0.0000,1019.92,173.07,0.0000,860.70,317.70,0.0000,944.83,340.64,0.0000,985.16,259.98,0.0000,769.61,50.00,0.0000,930.23,338.55,0.0000,769.61,50.00,0.0000
25,1,Jok,0.6653,1013.7,149.8,1086.3,345.7,0.9498,951.75,149.00,0.0000,951.75,149.00,0.0000,951.75,149.00,0.0000,1062.00,166.99,0.0000,951.75,149.00,0.0000,1047.84,230.54,0.0000,951.75,149.00,0.0000,1016.45,267.67,0.0000,1011.85,273.03,0.0000,1030.99,243.94,0.0000,1007.26,344.62,0.0000,1056.26,272.65,0.0000,1056.64,272.27,0.0000,1026.78,309.02,0.0000,1019.12,317.05,0.0000,1009.55,344.62,0.0000,1002.66,344.62,0.0000
